Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Disc_D5.0mm_W2.5mm_P2.50mm,1,470uF,
C2,CP_Radial_D5.0mm_P2.00mm,1,100nF,
"C3, C4",C_Disc_D5.0mm_W2.5mm_P2.50mm,2,100nF,
D1,LED_D3.0mm,1,LED,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330,
"R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,4.7k,
"SW1, SW2, SW3",SW_PUSH_6mm,3,SW_Push,
SW5,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SW_SPDT,
U1,CC1101_module,1,CC1101_module,
U2,MODULE_ESP32-C3_SUPERMINI_TH,1,ESP32-C3_SUPERMINI_TH,
U3,ER_OLEDM0.91_1x-I2C,1,ER_OLEDM0.91_1x-I2C,
U4,3xAAA_SMD,1,3*AAA_holder,
